sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,xcs_pro,fact_no,product_left,aging
3287509,0.489323,8,0,0,0.028784,0.172702,0.057567,0.172702,0.460539,0.690808,0.086351,0,0,0.96,0.88,0,0,0,0,1,0,0,21694,0,0
3287510,0.618718,0,0,0,0,0,0,0.176777,0.441942,0.618718,0.088388,0,0,0,0,0,0,0,0,1,0,0,21695,0,0
3287511,0.243484,14,0,0.056111,0.268533,0.480955,0.037074,0.163324,0.426848,0.64929,0.048096,0,0,0.98,0.96,0,0,0,0,1,0,0,21696,0,0
3287512,0.056254,8,0,0.225018,0.393781,0.562544,0,0.225018,0.281272,0.562544,0.168763,0,0,0.97,0.96,0,0,0,0,1,0,1,21697,120,12
3287513,0.316228,8,0,0,0,0,0,0.316228,0.632456,0.632456,0,0,0,0.78,0.75,0,1,0,0,1,0,0,21698,0,0
3287514,0.954815,8,0,0,0,0,0,0.168497,0.168497,0.168497,0.056166,0,0,0.7669,0.763186,0,1,0,1,1,0,0,21699,0,0
3287515,0.309121,8,0.016597,0,0,0,0.070538,0.22821,0.483391,0.767617,0.155598,0,0,0.7669,0.763186,0,0,0,1,0,0,0,21700,0,0
3287517,0.436644,12,0.142163,0,0,0.182781,0.040618,0.182781,0.456953,0.710816,0.081236,0,0,1,1,0,0,0,0,1,0,0,21701,0,0
3287518,1,12,0,0,0,0,0,0,0,0,0,0,0,0.77,0.73,0,0,0,0,1,0,0,21702,0,0
3287519,1,12,0,0,0,0,0,0,0,0,0,0,0,0.77,0.73,0,0,0,0,1,0,0,21703,0,0
3287520,0.131685,8,0,0.197528,0.395056,0.592584,0.065843,0.175581,0.351161,0.526742,0.021948,0,0,0.91,0.81,0,0,0,1,1,0,0,21704,0,0
3287521,0.83205,12,0,0,0,0.27735,0,0.27735,0.27735,0.27735,0,0,0,0.77,0.73,0,0,0,0,1,0,0,21705,0,0
3287522,0.970143,0,0,0,0,0,0,0,0.080845,0.16169,0.16169,0,0,0,0,0,0,0,0,0,0,0,21706,0,0
3287523,0,8,0,0.485071,0.485071,0.485071,0,0,0.242536,0.485071,0,0,0,0.19,0.49,0,0,0,0,1,0,0,21707,0,0
3287524,0.993409,12,0,0,0,0,0,0,0,0.114624,0,0,0,0.73,0.79,0,0,0,0,1,0,0,21708,0,0
3287525,0.999757,8,0,0,0,0,0,0.000858,0.012014,0.017163,0.006865,0,0,1,0.8,0,0,0,0,1,0,0,21709,0,0
3287526,0.987878,9,0,0,0,0,0,0,0.109764,0.109764,0,0,0,0.93,0.89,0,1,0,0,1,0,0,21710,0,0
3287527,0.999363,9,0,0,0,0,0,0,0,0,0.035692,0,0,0.99,0.99,0,0,0,0,1,0,0,21711,0,0
3287528,1,9,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0,21712,0,0
3287529,0.944911,9,0,0,0,0,0,0.188982,0.188982,0.188982,0,0,0,0.98,0.98,0,0,0,0,1,0,0,21713,0,0
3287530,0.196504,4,0.032045,0.14511,0.329522,0.47705,0.083438,0.20255,0.402681,0.623975,0.060463,0,0,0.87,0.91,0,0,0,0,1,0,0,21714,0,0
3287531,0.235926,8,0.032542,0.219656,0.333551,0.504394,0.065083,0.231859,0.382363,0.553207,0.138302,0,0,0.66,0.66,0,0,0,1,1,0,0,21715,0,0
3287532,1,8,0,0,0,0,0,0,0,0,0,0,0,0.7669,0.763186,0,1,0,0,1,0,0,21716,0,0
3287533,0.207028,8,0,0,0,0,0.031851,0.191103,0.382206,0.589235,0.652936,0,0,0.7669,0.763186,0,0,0,0,1,0,0,21717,0,0
3287534,1,8,0,0,0,0,0,0,0,0,0,0,0,0.95,0.77,0,1,0,0,1,0,0,21718,0,0
3287535,0.911068,0,0,0,0,0,0.031967,0.095902,0.223771,0.311681,0.111885,0,0,0,0,0,0,0,0,0,0,0,21719,0,0
3287536,0.571429,8,0,0,0,0,0,0.285714,0.285714,0.714286,0,0,0,0.19,0.49,0,1,0,0,1,0,0,21720,0,0
3287537,0.143561,13,0.102544,0.102544,0.102544,0.205088,0.051272,0.266614,0.502465,0.758825,0.061526,0,0,0.82,0.81,0,0,0,0,1,0,0,21721,0,0
3287538,0.897889,10,0,0,0,0,0.019104,0.171936,0.229248,0.324768,0.076416,0,0,0.89,0.9,0,0,0,0,1,0,0,21722,0,0
3287539,0.904534,0,0,0,0,0,0,0,0,0.301511,0.301511,0,0,0,0,0,1,0,0,1,0,0,21723,0,0
3287540,1,9,0,0,0,0,0,0,0,0,0,0,0,0.7,0.66,0,0,0,1,1,0,0,21724,0,0
3287541,0,8,0,0,0,0,0,0,0,0,0,0,0,0.95,0.96,0,0,0,0,1,0,0,21725,0,0
3287542,0.999201,8,0,0,0,0,0,0,0,0,0.039968,0,0,0.84,0.82,0,0,0,0,1,0,0,21726,0,0
3287543,0,8,0,0,0,0,0,0.194666,0.551553,0.811107,0,0,0,0.87,0.8,0,1,0,0,1,0,0,21727,0,0
3287544,0.523225,8,0.043602,0.174408,0.348817,0.523225,0.043602,0.174408,0.261612,0.436021,0.087204,0,0,0.79,0.66,0,0,0,0,1,0,0,21728,0,0
3287545,0.090552,9,0.021917,0.151112,0.258966,0.351248,0.047871,0.252622,0.473522,0.697883,0.025954,0,0,0.94,0.83,0,0,0,0,1,0,0,21729,0,0
3287546,0.998979,3,0,0,0,0,0,0.007866,0.031464,0.031464,0,0,0,0.7669,0.763186,0,0,0,0,1,0,0,21730,0,0
3287547,1,9,0,0,0,0,0,0,0,0,0,0,0,0.94,0.83,0,0,0,0,1,0,0,21731,0,0
3287548,1,8,0,0,0,0,0,0,0,0,0,0,0,0.18,0.33,0,0,0,0,1,0,0,21732,0,0
3287549,0.609333,2,0,0,0,0,0.162489,0.406222,0.446844,0.487467,0,0,0,0.99,0.98,0,1,0,0,1,0,0,21733,0,0
3287550,0,2,0.928477,0,0,0,0.185695,0.185695,0.185695,0.185695,0,0,0,0,0.08,0,1,0,0,1,0,0,21734,0,0
3287551,0.998371,9,0,0,0,0,0,0,0,0,0.05705,0,0,0.85,0.82,0,1,0,0,0,0,0,21735,0,0
3287552,0.916176,8,0,0,0,0,0.050899,0.152696,0.203595,0.305392,0,0,0,0.7669,0.763186,0,1,0,0,1,0,0,21736,0,0
3287553,0.236263,9,0.236263,0.078754,0.267764,0.393771,0.066154,0.211061,0.445749,0.607983,0.19531,0,0,0.85,0.82,0,0,0,0,1,0,0,21737,0,0
3287554,0.221396,9,0.094884,0.253024,0.421707,0.506049,0.052713,0.179226,0.358451,0.527134,0.052713,0,0,0.85,0.82,0,0,0,0,1,0,0,21738,0,0
3287555,0.214115,8,0,0.249801,0.499602,0.499602,0.035686,0.142743,0.321173,0.517445,0,0,0,0.95,0.95,0,0,0,0,1,0,0,21739,0,0
3287556,0.904534,8,0,0,0,0,0,0,0.301511,0.301511,0,0,0,0.7669,0.763186,0,1,0,0,1,0,0,21740,0,0
3287557,0.64623,9,0.276956,0.030773,0.030773,0.030773,0,0.092319,0.276956,0.64623,0,0,0,0.85,0.82,0,0,0,0,1,0,0,21741,0,0
3287558,1,9,0,0,0,0,0,0,0,0,0,0,0,0.85,0.82,0,0,0,0,1,0,0,21742,0,0
3287559,1,9,0,0,0,0,0,0,0,0,0,0,0,0.85,0.82,0,0,0,0,1,0,0,21743,0,0
3287560,0.98039,8,0,0,0,0,0,0.089126,0.089126,0.148544,0.029709,0,0,0.79,0.86,0,0,0,0,1,0,0,21744,0,0
3287561,1,9,0,0,0,0,0,0,0,0,0,0,0,0.85,0.82,0,0,0,0,1,0,0,21745,0,0
3287562,1,9,0,0,0,0,0,0,0,0,0,0,0,0.85,0.82,0,0,0,0,1,0,0,21746,0,0
3287563,0.894427,9,0,0,0,0,0,0.127775,0.191663,0.383326,0,0,0,0.85,0.82,0,0,0,0,1,0,0,21747,0,0
3287564,0,2,0,0.57735,0.57735,0.57735,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21748,0,0
3287565,1,8,0,0,0,0,0,0,0,0,0,0,0,0.84,0.82,0,0,0,1,1,0,0,21749,0,0
3287566,0.997785,12,0,0,0,0,0,0,0,0,0.066519,0,0,0.7,0.76,0,0,0,0,1,0,0,21750,0,0
3287567,0.9998,12,0,0,0,0,0,0,0,0,0.019996,0,0,0.48,0.48,0,1,0,0,1,0,0,21751,0,0
3287568,0.516551,4,0,0.172184,0.344367,0.344367,0,0,0.378804,0.568206,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21752,0,0
3287569,0.991217,4,0,0,0,0,0,0,0.093511,0.093511,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21753,0,0
3287570,0.977356,4,0,0,0,0,0,0.122169,0.122169,0.122169,0,0,0,0.73,0.78,0,1,0,0,1,0,0,21754,0,0
3287571,0.998752,2,0,0,0,0,0,0,0,0,0.049938,0,0,0.9,0.95,0,1,0,0,1,0,0,21755,0,0
3287572,0.447214,4,0,0,0,0,0.447214,0.447214,0.447214,0.447214,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21756,0,0
3287573,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21757,0,0
3287574,0.986394,8,0,0,0,0,0,0,0,0,0.164399,0,0,0.37,0.34,0,0,0,0,1,0,0,21758,0,0
3287575,0.993884,2,0,0,0,0,0,0,0,0,0.110432,0,0,0.98,0.92,0,1,0,0,1,0,0,21759,0,0
3287576,0.078527,2,0.039264,0.248669,0.497338,0.811446,0.078527,0.078527,0.078527,0.078527,0,0,0,0.89,0.87,0,0,0,0,1,0,0,21760,0,0
3287577,0.381,4,0,0,0,0.127,0,0,0.508001,0.762001,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21761,0,0
3287578,0.998696,8,0,0,0,0,0.002845,0.011381,0.019917,0.045525,0,0,0,0.7669,0.763186,0,0,0,1,1,0,0,21762,0,0
3287579,1,12,0,0,0,0,0,0,0,0,0,0,0,0.73,0.79,0,0,0,0,1,0,0,21763,0,0
3287580,1,8,0,0,0,0,0,0,0,0,0,0,0,0.66,0.8,0,0,0,0,1,0,0,21764,0,0
3287581,0.371391,8,0,0.123797,0.247594,0.495188,0,0.123797,0.371391,0.618984,0.061898,0,0,1,0.94,0,0,0,0,1,0,0,21765,0,0
3287582,0.912871,8,0,0,0,0,0.182574,0.182574,0.182574,0.182574,0.182574,0,0,0,0,0,0,0,0,1,0,0,21766,0,0
3287583,0.066708,2,0.025657,0.230913,0.448997,0.667081,0.061577,0.174467,0.300187,0.413077,0,0,0,0.92,0.92,0,0,0,0,1,0,0,21767,0,0
3287584,0.99998,12,0,0,0,0,0,0,0,0,0.00625,0,0,0.77,0.73,0,0,0,0,1,0,0,21768,0,0
3287585,0.999083,12,0,0,0,0,0,0,0,0,0.042818,0,0,0.77,0.73,0,0,0,0,1,0,0,21769,0,0
3287586,1,12,0,0,0,0,0,0,0,0.000693,0.000347,0,0,0.77,0.73,0,0,0,0,1,0,0,21770,0,0
3287587,0.105876,12,0,0.573495,0.573495,0.573495,0,0,0.026469,0.026469,0.026469,0,0,0.27,0.26,0,1,0,0,0,0,0,21771,0,0
